,activation,alpha,hidden_layer_sizes,mean train score,mean test score
55,logistic,0.0001,21,0.7433276179589763,0.7258344367837085
56,logistic,0.0001,23,0.7470057788785165,0.7313542253271033
57,logistic,0.0001,25,0.7451666984187465,0.7276760574098594
58,logistic,0.0001,27,0.7460875087318218,0.7304334150140278
59,logistic,0.0001,29,0.7470064139201118,0.7295126047009522
60,logistic,0.01,1,0.7442471581888613,0.7313592986621615
61,logistic,0.01,3,0.743326347875786,0.7258344367837085
62,logistic,0.01,5,0.7451673334603418,0.7276735207423304
63,logistic,0.01,7,0.7391877817997079,0.7267527104292548
64,logistic,0.01,9,0.7405670921445355,0.7249110898031038
65,logistic,0.01,11,0.7419470375309584,0.730435951681557
66,logistic,0.01,13,0.7447081983869944,0.7276735207423304
67,logistic,0.01,15,0.7410294024258589,0.7331958459532544
68,logistic,0.01,17,0.744249063313647,0.7322750356401787
69,logistic,0.01,19,0.7433269829173811,0.7304308783464987
70,logistic,0.01,21,0.7424087127706865,0.7267552470967841
71,logistic,0.01,23,0.7470057788785165,0.7313542253271033
72,logistic,0.01,25,0.7447069283038039,0.7276760574098594
73,logistic,0.01,27,0.7460875087318218,0.7304334150140278
74,logistic,0.01,29,0.7470051438369213,0.7295126047009522
75,logistic,1.0,1,0.7373474312567473,0.7285943310554059
76,logistic,1.0,3,0.7419470375309584,0.7249161631381621
77,logistic,1.0,5,0.7414866323744205,0.7239978894926158
78,logistic,1.0,7,0.7410268622594781,0.7267501737617258
79,logistic,1.0,9,0.7447075633453991,0.7331933092857251
80,logistic,1.0,11,0.7428672128024386,0.7295100680334232
81,logistic,1.0,13,0.7410274973010732,0.7267552470967841
82,logistic,1.0,15,0.7396481869562456,0.7258293634486503
83,logistic,1.0,17,0.7419470375309581,0.731349151992045
84,logistic,1.0,19,0.7428672128024386,0.7350298565768179
85,logistic,1.0,21,0.7433276179589763,0.7285892577203477
86,logistic,1.0,23,0.7414872674160158,0.7304283416789695
87,logistic,1.0,25,0.7419476725725535,0.7331856992831378
88,logistic,1.0,27,0.742868482885629,0.730435951681557
89,logistic,1.0,29,0.7428665777608434,0.7285943310554059
90,relu,0.0001,1,0.7290633136470439,0.7212506785585641
91,relu,0.0001,3,0.7332069600558837,0.7295100680334231
92,relu,0.0001,5,0.7612618276497111,0.7341217296013881
93,relu,0.0001,7,0.7792036578395884,0.7451384766804153
94,relu,0.0001,9,0.7778154569124277,0.7377998975186318
95,relu,0.0001,11,0.8003708642916111,0.7267653937669006
96,relu,0.0001,13,0.7879392900234965,0.7423963390814219
97,relu,0.0001,15,0.8049653902330602,0.7295278247061271
98,relu,0.0001,17,0.8169270337207086,0.7267552470967841
99,relu,0.0001,19,0.8357890391820665,0.7405699384604457
100,relu,0.0001,21,0.8435949704705658,0.7111293751173209
101,relu,0.0001,23,0.8656867974852352,0.7185085409595707
102,relu,0.0001,25,0.876260240045723,0.7184983942894542
103,relu,0.0001,27,0.8845532482377596,0.6936745658493524
104,relu,0.0001,29,0.9038629580237506,0.704696386263438
105,relu,0.01,1,0.7290633136470439,0.7212506785585641
106,relu,0.01,3,0.7332069600558837,0.7295100680334231
107,relu,0.01,5,0.7612618276497111,0.7377948241835736
108,relu,0.01,7,0.7787438877246459,0.7451384766804153
109,relu,0.01,9,0.7805747126436781,0.7368816238730855
110,relu,0.01,11,0.799909824093478,0.7249237731407495
111,relu,0.01,13,0.794846002413158,0.744237959707573
112,relu,0.01,15,0.7999060138439068,0.7387181711641783
113,relu,0.01,17,0.8072667809741537,0.7267451004266675
114,relu,0.01,19,0.8316396773988696,0.7359684235625973
115,relu,0.01,21,0.8550968438432717,0.7083694808456235
116,relu,0.01,23,0.856950530259732,0.7295354347087145
